X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
5,0.01,0.1,0.05,0.0,4.651017621901923e+148,11.006061324613823,0.11
5,0.01,0.1,0.05,0.05,4.394379085658391e+147,1.0398757784232826,0.95
5,0.01,0.1,0.05,0.1,6.1434238977494075e+147,1.4537657273824423,0.62
5,0.01,0.1,0.05,0.15,4.25322906411044e+147,1.0064743613696951,0.98
5,0.01,0.1,0.2,0.0,8.514529756394241e+148,20.148587742998735,0.08
5,0.01,0.1,0.2,0.05,4.280588868797035e+147,1.01294872273939,0.96
5,0.01,0.1,0.2,0.1,5.08209829293988e+147,1.2026160728012618,0.74
5,0.01,0.1,0.2,0.15,4.2805888687970365e+147,1.0129487227393903,0.96
5,0.01,0.1,0.4,0.0,6.798896383054255e+148,16.088752315023626,0.06
5,0.01,0.1,0.4,0.05,4.335308478170228e+147,1.0258974454787806,0.92
5,0.01,0.1,0.4,0.1,5.0093477831084185e+147,1.1854005591719121,0.72
5,0.01,0.1,0.4,0.15,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.1,0.6,0.0,8.338349626972543e+148,19.731679129395015,0.13
5,0.01,0.1,0.6,0.05,5.874803756996803e+147,1.3902000739601148,0.67
5,0.01,0.1,0.6,0.1,7.599958337166118e+148,17.984366932833833,0.09
5,0.01,0.1,0.6,0.15,4.972659074193495e+147,1.176718627322481,0.82
5,0.01,0.3,0.05,0.0,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.3,0.05,0.05,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.3,0.05,0.1,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.3,0.05,0.15,5.8064042452803135e+147,1.3740141705358768,0.72
5,0.01,0.3,0.2,0.0,4.384456284994707e+148,10.375276696545233,0.12
5,0.01,0.3,0.2,0.05,4.2805888687970365e+147,1.0129487227393903,0.96
5,0.01,0.3,0.2,0.1,4.25322906411044e+147,1.0064743613696951,0.98
5,0.01,0.3,0.2,0.15,4.266908966453738e+147,1.0097115420545426,0.97
5,0.01,0.3,0.4,0.0,1.06714988214896e+148,2.5252789819968435,0.24
5,0.01,0.3,0.4,0.05,4.335308478170228e+147,1.0258974454787806,0.92
5,0.01,0.3,0.4,0.1,4.348988380513526e+147,1.0291346261636283,0.91
5,0.01,0.3,0.4,0.15,9.864486751974945e+147,2.3343094985668986,0.63
5,0.01,0.3,0.6,0.0,1.0443918387766887e+148,2.471424870629058,0.26
5,0.01,0.3,0.6,0.05,8.449523415109066e+148,19.994758229366223,0.13
5,0.01,0.3,0.6,0.1,5.837590103939474e+147,1.3813939205339667,0.7
5,0.01,0.3,0.6,0.15,6.685344307250381e+147,1.5820045289715996,0.56
5,0.01,0.5,0.05,0.0,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.5,0.05,0.05,1.0547310064370145e+149,24.958912396187493,0.08
5,0.01,0.5,0.05,0.1,6.343028212282912e+148,15.0099963413154,0.12
5,0.01,0.5,0.05,0.15,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.5,0.2,0.0,2.369437690599251e+148,5.606982954608257,0.21
5,0.01,0.5,0.2,0.05,7.675822321718119e+148,18.16388972422834,0.12
5,0.01,0.5,0.2,0.1,8.177442954768102e+147,1.935091327430943,0.38
5,0.01,0.5,0.2,0.15,1.249839745657822e+148,2.9575920808970446,0.42
5,0.01,0.5,0.4,0.0,2.142855952787136e+148,5.070805132005654,0.18
5,0.01,0.5,0.4,0.05,7.068279609006748e+147,1.672621459654537,0.57
5,0.01,0.5,0.4,0.1,6.972520292603662e+147,1.649961194860604,0.64
5,0.01,0.5,0.4,0.15,4.3079486734836316e+147,1.0194230841090854,0.94
5,0.01,0.5,0.6,0.0,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.5,0.6,0.05,6.501241551686251e+147,1.5384388755492715,0.62
5,0.01,0.5,0.6,0.1,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.5,0.6,0.15,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.7,0.05,0.0,9.367547387561145e+148,22.167149082218216,0.07
5,0.01,0.7,0.05,0.05,8.157701898317905e+148,19.304198491531487,0.13
5,0.01,0.7,0.05,0.1,4.225869259423843e+147,0.9999999999999998,1.0
5,0.01,0.7,0.05,0.15,7.754878315910642e+147,1.8350966013955539,0.67
5,0.01,0.7,0.2,0.0,1.0842161890654925e+149,25.656642988839526,0.11
5,0.01,0.7,0.2,0.05,8.107174686615151e+148,19.184632057737833,0.09
5,0.01,0.7,0.2,0.1,9.992499093338524e+148,23.64602045142519,0.05
5,0.01,0.7,0.2,0.15,6.984159053989978e+148,16.52715364635346,0.12
5,0.01,0.7,0.4,0.0,1.0989777131991152e+149,26.00595630705693,0.1
5,0.01,0.7,0.4,0.05,8.758472173149163e+148,20.72584747769337,0.11
5,0.01,0.7,0.4,0.1,6.864108914839007e+148,16.243069753120714,0.14
5,0.01,0.7,0.4,0.15,6.923868894070107e+147,1.638448439603195,0.65
5,0.01,0.7,0.6,0.0,3.878472786831947e+148,9.177928962621856,0.17
5,0.01,0.7,0.6,0.05,4.9004335085044396e+147,1.1596273352698483,0.87
5,0.01,0.7,0.6,0.1,4.802236220972665e+147,1.1363901545850008,0.87
5,0.01,0.7,0.6,0.15,4.490138402061478e+147,1.062536043217216,0.88
5,0.03,0.1,0.05,0.0,2.2413632017604477e+148,5.303910424493434,0.24
5,0.03,0.1,0.05,0.05,4.225869259423843e+147,0.9999999999999998,1.0
5,0.03,0.1,0.05,0.1,2.4567404154943091e+148,5.813574118545404,0.2
5,0.03,0.1,0.05,0.15,7.500988986904963e+148,17.750168134467202,0.11
5,0.03,0.1,0.2,0.0,3.248126178024931e+148,7.686291218739174,0.17
5,0.03,0.1,0.2,0.05,4.225869259423843e+147,0.9999999999999998,1.0
5,0.03,0.1,0.2,0.1,4.239549161767141e+147,1.0032371806848475,0.99
5,0.03,0.1,0.2,0.15,4.225869259423843e+147,0.9999999999999998,1.0
5,0.03,0.1,0.4,0.0,4.829892363208094e+148,11.429346405919341,0.11
5,0.03,0.1,0.4,0.05,4.225869259423843e+147,0.9999999999999998,1.0
5,0.03,0.1,0.4,0.1,4.239549161767141e+147,1.0032371806848475,0.99
5,0.03,0.1,0.4,0.15,4.225869259423843e+147,0.9999999999999998,1.0
5,0.03,0.1,0.6,0.0,1.1459968828919798e+149,27.118607144231085,0.05
5,0.03,0.1,0.6,0.05,4.266908966453738e+147,1.0097115420545426,0.97
5,0.03,0.1,0.6,0.1,4.239549161767141e+147,1.0032371806848475,0.99
5,0.03,0.1,0.6,0.15,1.2030944769633378e+148,2.8469751502141074,0.4
5,0.03,0.3,0.05,0.0,2.7964036954316545e+148,6.617345506360783,0.18
5,0.03,0.3,0.05,0.05,2.3346043554104147e+148,5.524554149904569,0.25
5,0.03,0.3,0.05,0.1,2.311428017317393e+148,5.469710195512612,0.28
5,0.03,0.3,0.05,0.15,1.0069275818771881e+149,23.827703131887066,0.14
5,0.03,0.3,0.2,0.0,3.921227970773485e+148,9.279103848347892,0.13
5,0.03,0.3,0.2,0.05,1.1205116252373919e+149,26.5155298578774,0.06
5,0.03,0.3,0.2,0.1,2.3345714424223355e+148,5.5244762653651796,0.28
5,0.03,0.3,0.2,0.15,8.271845540090511e+147,1.9574305384966633,0.54
5,0.03,0.3,0.4,0.0,8.611352643282272e+148,20.377707199716696,0.12
5,0.03,0.3,0.4,0.05,1.2091549068891053e+149,28.6131641245797,0.07
5,0.03,0.3,0.4,0.1,1.233028062580995e+149,29.178093000186813,0.05
5,0.03,0.3,0.4,0.15,1.1149100148053236e+149,26.382974634604068,0.1
5,0.03,0.3,0.6,0.0,1.1554669374402695e+149,27.34270434097164,0.09
5,0.03,0.3,0.6,0.05,1.1219785454608572e+149,26.5502427212769,0.06
5,0.03,0.3,0.6,0.1,1.0814669525059953e+149,25.591585686052262,0.07
5,0.03,0.3,0.6,0.15,1.1550378142645226e+149,27.332549668656828,0.08
5,0.03,0.5,0.05,0.0,1.13864569893928e+149,26.944650414824313,0.07
5,0.03,0.5,0.05,0.05,9.68568261990943e+148,22.919976992449545,0.06
5,0.03,0.5,0.05,0.1,1.0317201525717108e+149,24.414388833041553,0.11
5,0.03,0.5,0.05,0.15,9.137672566275234e+148,21.62317858248427,0.11
5,0.03,0.5,0.2,0.0,1.09514723833509e+149,25.915312829256873,0.06
5,0.03,0.5,0.2,0.05,1.014567842835939e+149,24.008500513200104,0.1
5,0.03,0.5,0.2,0.1,9.444858416712609e+148,22.350096126732332,0.11
5,0.03,0.5,0.2,0.15,1.0704135437040168e+149,25.330020357751373,0.08
5,0.03,0.5,0.4,0.0,1.077211514549746e+149,25.490885979198826,0.08
5,0.03,0.5,0.4,0.05,1.145969369906317e+149,27.11795608325466,0.08
5,0.03,0.5,0.4,0.1,1.1954115314970366e+149,28.287944044440675,0.07
5,0.03,0.5,0.4,0.15,9.702595725217407e+148,22.959999776567297,0.07
5,0.03,0.5,0.6,0.0,1.0599859401442416e+149,25.08326394103258,0.07
5,0.03,0.5,0.6,0.05,1.1297740505194173e+149,26.73471376332762,0.07
5,0.03,0.5,0.6,0.1,1.149251653361022e+149,27.195627285395744,0.05
5,0.03,0.5,0.6,0.15,1.1027279390319063e+149,26.094700790205053,0.1
5,0.03,0.7,0.05,0.0,1.1241957557587077e+149,26.60271027674862,0.04
5,0.03,0.7,0.05,0.05,1.1572263907252503e+149,27.384339639580492,0.07
5,0.03,0.7,0.05,0.1,1.2002844209420158e+149,28.403254981571834,0.08
5,0.03,0.7,0.05,0.15,1.0321227255888231e+149,24.423915228497698,0.02
5,0.03,0.7,0.2,0.0,9.846985312717234e+148,23.301679981599275,0.08
5,0.03,0.7,0.2,0.05,1.0074084422566846e+149,23.83908210151383,0.09
5,0.03,0.7,0.2,0.1,1.1709039066873691e+149,27.70800123728888,0.07
5,0.03,0.7,0.2,0.15,1.1362710784848041e+149,26.88845794154369,0.07
5,0.03,0.7,0.4,0.0,1.072787759994078e+149,25.38620326697807,0.09
5,0.03,0.7,0.4,0.05,1.0480507043448554e+149,24.800831261110687,0.08
5,0.03,0.7,0.4,0.1,1.167565644562065e+149,27.629005368738056,0.05
5,0.03,0.7,0.4,0.15,1.083867436930618e+149,25.648390198384714,0.11
5,0.03,0.7,0.6,0.0,1.303938599561129e+149,30.85610366798021,0.05
5,0.03,0.7,0.6,0.05,1.1770220644218983e+149,27.852779917341167,0.07
5,0.03,0.7,0.6,0.1,1.0247554632573097e+149,24.24957802402588,0.09
5,0.03,0.7,0.6,0.15,1.1181479892135056e+149,26.459597317640494,0.07
5,0.05,0.1,0.05,0.0,1.1435928610285664e+149,27.061718922759198,0.1
5,0.05,0.1,0.05,0.05,1.1023758583674423e+149,26.086369234190187,0.1
5,0.05,0.1,0.05,0.1,1.15014046372493e+149,27.216659889798397,0.08
5,0.05,0.1,0.05,0.15,1.1697391777215805e+149,27.680439358435404,0.07
5,0.05,0.1,0.2,0.0,1.1336682583878867e+149,26.82686540431332,0.12
5,0.05,0.1,0.2,0.05,1.1099683552192078e+149,26.266036336640976,0.1
5,0.05,0.1,0.2,0.1,1.0959245549830987e+149,25.933707071962687,0.11
5,0.05,0.1,0.2,0.15,1.0732248293633533e+149,25.396545976192293,0.06
5,0.05,0.1,0.4,0.0,9.807703621369109e+148,23.208724689003496,0.07
5,0.05,0.1,0.4,0.05,1.0700389183355397e+149,25.321155309036442,0.1
5,0.05,0.1,0.4,0.1,1.0036749402341803e+149,23.75073336677296,0.11
5,0.05,0.1,0.4,0.15,1.0045684776126789e+149,23.77187783016368,0.1
5,0.05,0.1,0.6,0.0,1.1659597548678187e+149,27.591003963685946,0.06
5,0.05,0.1,0.6,0.05,1.0362908091377e+149,24.522547800709482,0.05
5,0.05,0.1,0.6,0.1,1.0887335102969853e+149,25.763539841396405,0.09
5,0.05,0.1,0.6,0.15,1.011530523590977e+149,23.936626087880658,0.06
5,0.05,0.3,0.05,0.0,1.1135569575265526e+149,26.3509561977877,0.08
5,0.05,0.3,0.05,0.05,1.1295479389459956e+149,26.72936311096379,0.07
5,0.05,0.3,0.05,0.1,8.690741848430873e+148,20.565571992200656,0.06
5,0.05,0.3,0.05,0.15,9.71252852608736e+148,22.983504528513425,0.11
5,0.05,0.3,0.2,0.0,1.2505604457774121e+149,29.592975291145514,0.05
5,0.05,0.3,0.2,0.05,9.681672512204869e+148,22.91048756563962,0.06
5,0.05,0.3,0.2,0.1,9.376759471447082e+148,22.18894834603925,0.1
5,0.05,0.3,0.2,0.15,9.915054470220993e+148,23.462757273216763,0.1
5,0.05,0.3,0.4,0.0,1.1684241405797752e+149,27.649320621411707,0.06
5,0.05,0.3,0.4,0.05,1.165299062763026e+149,27.575369497396686,0.1
5,0.05,0.3,0.4,0.1,1.0201200239602858e+149,24.13988605268326,0.1
5,0.05,0.3,0.4,0.15,1.083113663697742e+149,25.630553081649616,0.08
5,0.05,0.3,0.6,0.0,1.1457916228545103e+149,27.11374991782703,0.09
5,0.05,0.3,0.6,0.05,1.1051847003364213e+149,26.152837025703498,0.11
5,0.05,0.3,0.6,0.1,8.362451179770252e+148,19.788712490623503,0.09
5,0.05,0.3,0.6,0.15,1.1678702015223032e+149,27.63621233472639,0.08
5,0.05,0.5,0.05,0.0,9.749355115301784e+148,23.070650123783086,0.11
5,0.05,0.5,0.05,0.05,1.1219910592978533e+149,26.55053884584271,0.05
5,0.05,0.5,0.05,0.1,8.955128256884156e+148,21.191209919506832,0.07
5,0.05,0.5,0.05,0.15,1.094306514859256e+149,25.895418141934048,0.03
5,0.05,0.5,0.2,0.0,1.3508516922674068e+149,31.96624432369643,0.04
5,0.05,0.5,0.2,0.05,1.0928328924290658e+149,25.860546679053268,0.04
5,0.05,0.5,0.2,0.1,1.1294850176659114e+149,26.727874156237043,0.04
5,0.05,0.5,0.2,0.15,1.1104465281100566e+149,26.277351710153358,0.04
5,0.05,0.5,0.4,0.0,1.0803044175643483e+149,25.564075726082383,0.11
5,0.05,0.5,0.4,0.05,1.1459012722996804e+149,27.116344637124737,0.06
5,0.05,0.5,0.4,0.1,1.142824489285205e+149,27.043536350223434,0.07
5,0.05,0.5,0.4,0.15,1.055035045360951e+149,24.966107103483715,0.12
5,0.05,0.5,0.6,0.0,1.224097946652629e+149,28.966772786991587,0.06
5,0.05,0.5,0.6,0.05,9.823528222879119e+148,23.246171662723093,0.06
5,0.05,0.5,0.6,0.1,1.0081151365760617e+149,23.855805153648042,0.09
5,0.05,0.5,0.6,0.15,1.159854597513028e+149,27.446532921635225,0.06
5,0.05,0.7,0.05,0.0,1.0024869896393465e+149,23.72262197662087,0.05
5,0.05,0.7,0.05,0.05,1.092658795692935e+149,25.85642689385777,0.02
5,0.05,0.7,0.05,0.1,1.1388930288515847e+149,26.950503173088265,0.06
5,0.05,0.7,0.05,0.15,1.0767660309711123e+149,25.480344158066046,0.11
5,0.05,0.7,0.2,0.0,1.0268855236664573e+149,24.29998328453879,0.04
5,0.05,0.7,0.2,0.05,1.129967163653524e+149,26.739283548199122,0.06
5,0.05,0.7,0.2,0.1,1.109033461257389e+149,26.243913220557012,0.1
5,0.05,0.7,0.2,0.15,1.0551915333168603e+149,24.96981019854659,0.09
5,0.05,0.7,0.4,0.0,1.0527486156100027e+149,24.912001554764963,0.06
5,0.05,0.7,0.4,0.05,9.239420032000289e+148,21.863951449506022,0.1
5,0.05,0.7,0.4,0.1,1.0655176322757376e+149,25.21416463369268,0.05
5,0.05,0.7,0.4,0.15,1.027049993699985e+149,24.303875265653943,0.06
5,0.05,0.7,0.6,0.0,1.0935045733549795e+149,25.87644118228277,0.06
5,0.05,0.7,0.6,0.05,1.001202535213824e+149,23.69222694197426,0.06
5,0.05,0.7,0.6,0.1,1.143643395002528e+149,27.062914747117677,0.08
5,0.05,0.7,0.6,0.15,1.1447072649295944e+149,27.088089920833568,0.12
5,0.07,0.1,0.05,0.0,1.13133036906673e+149,26.771542128139,0.07
5,0.07,0.1,0.05,0.05,1.1487313292120113e+149,27.183314454187105,0.11
5,0.07,0.1,0.05,0.1,1.107449671345727e+149,26.206434779686415,0.12
5,0.07,0.1,0.05,0.15,1.143731630853602e+149,27.065002740040722,0.06
5,0.07,0.1,0.2,0.0,9.044283882538425e+148,21.40218574526256,0.14
5,0.07,0.1,0.2,0.05,1.171454195429165e+149,27.72102314374206,0.06
5,0.07,0.1,0.2,0.1,1.1694910487439028e+149,27.674567691271914,0.1
5,0.07,0.1,0.2,0.15,1.2201678439469952e+149,28.873771738819794,0.04
5,0.07,0.1,0.4,0.0,1.0817141558874263e+149,25.59743545011867,0.08
5,0.07,0.1,0.4,0.05,9.156502401861128e+148,21.667737073128304,0.06
5,0.07,0.1,0.4,0.1,1.2345026106074323e+149,29.21298636616469,0.04
5,0.07,0.1,0.4,0.15,1.0509455709605454e+149,24.869334720114637,0.11
5,0.07,0.1,0.6,0.0,1.0379492351010691e+149,24.56179241197309,0.02
5,0.07,0.1,0.6,0.05,1.1648623975581653e+149,27.565036352236387,0.11
5,0.07,0.1,0.6,0.1,1.0829834811071755e+149,25.627472470713155,0.06
5,0.07,0.1,0.6,0.15,1.0419054794103909e+149,24.65541206905309,0.06
5,0.07,0.3,0.05,0.0,1.1156252591283886e+149,26.39990001206268,0.07
5,0.07,0.3,0.05,0.05,1.141975873031844e+149,27.023454890025185,0.04
5,0.07,0.3,0.05,0.1,1.1495884954690605e+149,27.203598239709756,0.09
5,0.07,0.3,0.05,0.15,9.142596321328977e+148,21.634830043406218,0.1
5,0.07,0.3,0.2,0.0,1.0606693314512465e+149,25.09943555603181,0.05
5,0.07,0.3,0.2,0.05,1.1863333883163577e+149,28.07312094833011,0.05
5,0.07,0.3,0.2,0.1,9.950239042800993e+148,23.54601723801936,0.05
5,0.07,0.3,0.2,0.15,9.972114006463816e+148,23.59778164983603,0.13
5,0.07,0.3,0.4,0.0,1.0581222947697146e+149,25.039163064736634,0.08
5,0.07,0.3,0.4,0.05,1.2299095766253178e+149,29.10429786445887,0.1
5,0.07,0.3,0.4,0.1,1.1311041029951098e+149,26.76618781976527,0.08
5,0.07,0.3,0.4,0.15,1.1754997556840059e+149,27.816756352852092,0.08
5,0.07,0.3,0.6,0.0,8.776614460407081e+148,20.76877896975849,0.13
5,0.07,0.3,0.6,0.05,1.0115034563910422e+149,23.93598557587536,0.1
5,0.07,0.3,0.6,0.1,1.0908093446644788e+149,25.81266190930857,0.06
5,0.07,0.3,0.6,0.15,1.1859213107369842e+149,28.06336963909463,0.04
5,0.07,0.5,0.05,0.0,9.755401715483705e+148,23.084958659638605,0.1
5,0.07,0.5,0.05,0.05,1.3232421508141497e+149,31.312898473214027,0.04
5,0.07,0.5,0.05,0.1,1.1947403405093957e+149,28.272061134997983,0.06
5,0.07,0.5,0.05,0.15,1.1170466670755429e+149,26.43353588340405,0.05
5,0.07,0.5,0.2,0.0,1.1265146751761258e+149,26.657584653475887,0.04
5,0.07,0.5,0.2,0.05,1.1028336246437683e+149,26.097201710261356,0.04
5,0.07,0.5,0.2,0.1,9.616097534514355e+148,22.755312443872,0.06
5,0.07,0.5,0.2,0.15,1.3093278852059017e+149,30.983634486231498,0.1
5,0.07,0.5,0.4,0.0,1.1180729175038247e+149,26.45782083793721,0.02
5,0.07,0.5,0.4,0.05,1.0620264069743282e+149,25.13154907965906,0.07
5,0.07,0.5,0.4,0.1,1.0793253410868795e+149,25.54090708509129,0.03
5,0.07,0.5,0.4,0.15,1.1614760485447874e+149,27.484902566605747,0.07
5,0.07,0.5,0.6,0.0,1.150651243549665e+149,27.228746866308523,0.1
5,0.07,0.5,0.6,0.05,1.3181392998343278e+149,31.192145779115826,0.09
5,0.07,0.5,0.6,0.1,1.2123090958222638e+149,28.687804127370242,0.08
5,0.07,0.5,0.6,0.15,1.088365223727833e+149,25.754824792573466,0.09
5,0.07,0.7,0.05,0.0,1.0620835201503751e+149,25.132900592745262,0.08
5,0.07,0.7,0.05,0.05,1.080749228608482e+149,25.574601632513158,0.09
5,0.07,0.7,0.05,0.1,1.10587896319713e+149,26.169265902653738,0.06
5,0.07,0.7,0.05,0.15,1.2481797768161384e+149,29.536639687388615,0.06
5,0.07,0.7,0.2,0.0,1.221853823653042e+149,28.913668375524466,0.08
5,0.07,0.7,0.2,0.05,1.0545050586252472e+149,24.953565619041857,0.03
5,0.07,0.7,0.2,0.1,1.38641853398309e+149,32.80788990078966,0.03
5,0.07,0.7,0.2,0.15,1.0933870311322825e+149,25.87365969010965,0.08
5,0.07,0.7,0.4,0.0,1.2776649594446167e+149,30.23437028004065,0.03
5,0.07,0.7,0.4,0.05,1.2054746263292103e+149,28.526074810311687,0.04
5,0.07,0.7,0.4,0.1,1.1134814816524568e+149,26.34917015403049,0.09
5,0.07,0.7,0.4,0.15,1.1584401321753588e+149,27.41306133861086,0.11
5,0.07,0.7,0.6,0.0,1.2203492423094794e+149,28.878064308025046,0.05
5,0.07,0.7,0.6,0.05,1.093801148237599e+149,25.883459262218825,0.05
5,0.07,0.7,0.6,0.1,1.1922674592047537e+149,28.213543439517284,0.05
5,0.07,0.7,0.6,0.15,9.816872849061096e+148,23.230422538911036,0.09
